Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,churn
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,Study Hours,Playlists,3,Never,Unknown,Story telling,unknown Podcasters,Shorter,Ok,1
20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Rarely,Comedy,Unknown,Unknown,Shorter,Ok,1
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3,Once a week,Sports,Unknown,Unknown,Unknown,Ok,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Educational,Both,Shorter,Satisfied,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Ok,1
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2,Rarely,Comedy,Educational,Both,Longer,Satisfied,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3,Rarely,Unknown,Unknown,Unknown,Shorter,Ok,1
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, ",recommendations,4,Several times a week,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok,1
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied,1
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,3,Never,Unknown,Unknown,Well known individuals,Shorter,Dissatisfied,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied,1
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Unknown,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied,0
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5,Rarely,Self help,Story telling,Both,Shorter,Satisfied,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,"Classical & melody, dance",Night,Relaxation and stress relief,leisure time,Others,3,Never,Unknown,Conversational,Well known individuals,Unknown,Ok,1
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,Both,Both,Ok,1
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4,Rarely,Comedy,Conversational,Unknown,Shorter,Ok,1
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,classical,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Very Satisfied,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,4,Never,Unknown,Conversational,Unknown,Shorter,Ok,1
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Health and Fitness,Educational,Both,Shorter,Satisfied,1
12-20,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,leisure time,Others,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,0
12-20,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,classical,Morning,Relaxation and stress relief,Study Hours,Playlists,2,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok,1
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,2,Several times a week,Comedy,Educational,Both,Longer,Satisfied,0
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Several times a week,Sports,Conversational,unknown Podcasters,Longer,Satisfied,1
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Radio,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,0
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Once a week,Health and Fitness,Interview,Both,Longer,Very Satisfied,0
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Once a week,Health and Fitness,Interview,Both,Longer,Ok,1
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok,0
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,0
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Others,3,Once a week,Health and Fitness,Conversational,Both,Both,Dissatisfied,1
35-60,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Both,Longer,Satisfied,0
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Uplifting and motivational,Study Hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Both,Longer,Very Satisfied,0
20-35,Female,1 year to 2 years,Wearable devices,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Afternoon,Sadness or melancholy,Workout session,Radio,3,Rarely,Sports,Conversational,Both,Both,Satisfied,0
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Workout session,Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied,0
35-60,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Melody,Morning,Uplifting and motivational,Workout session,Radio,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Both,Ok,1
20-35,Female,Less than 6 months,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Workout session,Others,2,Once a week,Sports,Unknown,unknown Podcasters,Both,Ok,1
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Study Hours, leisure time","Playlists, Radio, Others",3,Once a week,Lifestyle and Health,Interview,Both,Both,Ok,1
20-35,Male,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,3,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,1
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,3,Rarely,Sports,Conversational,Both,Both,Ok,1
12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,"Radio, Others",3,Rarely,Sports,Story telling,Well known individuals,Longer,Ok,0
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Radio, Others",3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,0
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, leisure time",Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied,0
12-20,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio, Others",2,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,1
12-20,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,Study Hours,Radio,3,Once a week,Comedy,Interview,unknown Podcasters,Both,Ok,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Uplifting and motivational,Workout session,Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Longer,Very Satisfied,0
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,"Playlists, Radio",2,Several times a week,Comedy,Story telling,Both,Longer,Ok,1
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations, Radio, Others",4,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Both,Dissatisfied,0
20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sadness or melancholy,leisure time,Others,3,Rarely,Sports,Story telling,Both,Both,Ok,0
6-12,Others,More than 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Social gatherings or parties,Study Hours,Radio,3,Several times a week,Sports,Conversational,Well known individuals,Both,Satisfied,1
12-20,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Uplifting and motivational, Social gatherings or parties",While Traveling,Playlists,4,Rarely,Sports,Interview,Both,Both,Very Satisfied,1
6-12,Others,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Workout session,Playlists,4,Rarely,Sports,Story telling,unknown Podcasters,Both,Ok,1
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,leisure time,Playlists,4,Rarely,Comedy,Story telling,unknown Podcasters,Longer,Satisfied,0
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Ok,0
20-35,Male,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,4,Rarely,Sports,Conversational,Both,Both,Satisfied,0
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, Workout session",Radio,3,Several times a week,Health and Fitness,Story telling,Both,Shorter,Satisfied,1
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Rap,Afternoon,Social gatherings or parties,While Traveling,Playlists,3,Once a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,0
20-35,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,"Office hours, While Traveling","recommendations, Playlists, Others",4,Several times a week,Sports,Story telling,Both,Longer,Satisfied,0
12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Radio,3,Once a week,Sports,Interview,Well known individuals,Both,Very Dissatisfied,0
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Unknown,Music,Pop,Afternoon,Sadness or melancholy,While Traveling,Others,3,Rarely,Health and Fitness,Interview,unknown Podcasters,Both,Ok,1
12-20,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Satisfied,1
12-20,Male,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,classical,Afternoon,Relaxation and stress relief,Study Hours,Playlists,3,Several times a week,Health and Fitness,Story telling,Well known individuals,Longer,Very Satisfied,0
20-35,Female,1 year to 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, While Traveling","recommendations, Radio",3,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied,0
20-35,Male,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,classical,Morning,Uplifting and motivational,Workout session,Playlists,4,Rarely,Lifestyle and Health,Interview,unknown Podcasters,Both,Satisfied,1
20-35,Female,Less than 6 months,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling","Playlists, Radio",3,Rarely,Health and Fitness,Conversational,unknown Podcasters,Both,Ok,1
12-20,Female,6 months to 1 year,Wearable devices,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,While Traveling,Playlists,2,Rarely,Sports,Unknown,Well known individuals,Both,Ok,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","recommendations, Others",4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Ok,1
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Study Hours,"recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Longer,Satisfied,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Educational ,Educational,Both,Shorter,Satisfied,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Others",4,Once a week,Stories ,Story telling,Both,Both,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Unknown,Music,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Unknown,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,Unknown,Conversational,Both,Shorter,Satisfied,1
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy",While Traveling,recommendations,5,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,2,Rarely,Comedy,Story telling,Both,Shorter,Ok,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Unknown,Story telling,Both,Shorter,Ok,1
20-35,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Others",2,Several times a week,Comedy,Conversational,Both,Longer,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,0
